building_chain	level	active_slot_count
phar_main_major_main_building_sinai	2	5
phar_main_major_main_building_sinai	3	5
phar_main_major_main_building_sinai	4	6
phar_main_major_main_building_sinai	5	7
phar_main_major_main_building_upper_egypt	1	5
phar_main_major_main_building_upper_egypt	2	5
phar_main_major_main_building_upper_egypt	3	5
phar_main_major_main_building_upper_egypt	4	6
phar_main_major_main_building_upper_egypt	5	7
phar_main_major_main_building_western_desert	1	5
phar_main_major_main_building_western_desert	2	5
phar_main_major_main_building_western_desert	3	5
phar_main_major_main_building_western_desert	4	6
phar_main_major_main_building_western_desert	5	7
phar_main_major_main_building_yamhad	1	5
phar_main_major_main_building_yamhad	2	5
phar_main_major_main_building_yamhad	3	5
phar_main_major_main_building_yamhad	4	6
phar_main_major_main_building_yamhad	5	7
phar_main_major_poc_main_building	1	5
phar_main_major_poc_main_building	2	5
phar_main_major_poc_main_building	3	5
phar_main_major_poc_main_building	4	6
phar_main_major_poc_main_building	5	7
phar_main_major_poc_main_building_fenkhu	1	7
phar_main_major_poc_main_building_fenkhu	2	7
phar_main_major_poc_main_building_fenkhu	3	7
phar_main_major_poc_main_building_fenkhu	4	8
phar_main_major_poc_main_building_fenkhu	5	9
phar_main_major_poc_main_building_highlands	1	7
phar_main_major_poc_main_building_highlands	2	7
phar_main_major_poc_main_building_highlands	3	7
phar_main_major_poc_main_building_highlands	4	8
phar_main_major_poc_main_building_highlands	5	9
phar_main_major_poc_main_building_highlands_hattusa	1	7
phar_main_major_poc_main_building_highlands_hattusa	2	7
phar_main_major_poc_main_building_highlands_hattusa	3	7
phar_main_major_poc_main_building_highlands_hattusa	4	8
phar_main_major_poc_main_building_highlands_hattusa	5	9
phar_main_major_poc_main_building_isuwa	1	7
phar_main_major_poc_main_building_isuwa	2	7
phar_main_major_poc_main_building_isuwa	3	7
phar_main_major_poc_main_building_isuwa	4	8
phar_main_major_poc_main_building_isuwa	5	9
phar_main_major_poc_main_building_kush	1	7
phar_main_major_poc_main_building_kush	2	7
phar_main_major_poc_main_building_kush	3	7
phar_main_major_poc_main_building_kush	4	8
phar_main_major_poc_main_building_kush	5	9
phar_main_major_poc_main_building_lower_egypt	1	7
phar_main_major_poc_main_building_lower_egypt	2	7
phar_main_major_poc_main_building_lower_egypt	3	7
phar_main_major_poc_main_building_lower_egypt	4	8
phar_main_major_poc_main_building_lower_egypt	5	9
phar_main_major_poc_main_building_lower_egypt_memphis	1	7
phar_main_major_poc_main_building_lower_egypt_memphis	2	7
phar_main_major_poc_main_building_lower_egypt_memphis	3	7
phar_main_major_poc_main_building_lower_egypt_memphis	4	8
phar_main_major_poc_main_building_lower_egypt_memphis	5	9
phar_main_major_poc_main_building_lowlands	1	7
phar_main_major_poc_main_building_lowlands	2	7
phar_main_major_poc_main_building_lowlands	3	7
phar_main_major_poc_main_building_lowlands	4	8
phar_main_major_poc_main_building_lowlands	5	9
phar_main_major_poc_main_building_nubia	1	7
phar_main_major_poc_main_building_nubia	2	7
phar_main_major_poc_main_building_nubia	3	7
phar_main_major_poc_main_building_nubia	4	8
phar_main_major_poc_main_building_nubia	5	9
phar_main_major_poc_main_building_retjennu	1	7
phar_main_major_poc_main_building_retjennu	2	7
phar_main_major_poc_main_building_retjennu	3	7
phar_main_major_poc_main_building_retjennu	4	8
phar_main_major_poc_main_building_retjennu	5	9
phar_main_major_poc_main_building_sinai	1	5
phar_main_major_poc_main_building_sinai	2	5
phar_main_major_poc_main_building_sinai	3	5
phar_main_major_poc_main_building_sinai	4	6
phar_main_major_poc_main_building_sinai	5	7
phar_main_major_poc_main_building_upper_egypt	1	7
phar_main_major_poc_main_building_upper_egypt	2	7
phar_main_major_poc_main_building_upper_egypt	3	7
phar_main_major_poc_main_building_upper_egypt	4	8
phar_main_major_poc_main_building_upper_egypt	5	9
phar_main_major_poc_main_building_upper_egypt_thebes	1	7
phar_main_major_poc_main_building_upper_egypt_thebes	2	7
phar_main_major_poc_main_building_upper_egypt_thebes	3	7
phar_main_major_poc_main_building_upper_egypt_thebes	4	8
phar_main_major_poc_main_building_upper_egypt_thebes	5	9
phar_main_major_poc_main_building_western_desert	1	5
phar_main_major_poc_main_building_western_desert	2	5
phar_main_major_poc_main_building_western_desert	3	5
phar_main_major_poc_main_building_western_desert	4	6
phar_main_major_poc_main_building_western_desert	5	7
phar_main_major_poc_main_building_yamhad	1	7
phar_main_major_poc_main_building_yamhad	2	7
phar_main_major_poc_main_building_yamhad	3	7
phar_main_major_poc_main_building_yamhad	4	8
phar_main_major_poc_main_building_yamhad	5	9
phar_main_minor_main_building	1	3
phar_main_minor_main_building	2	3
phar_main_minor_main_building	3	3
phar_main_minor_main_building_fenkhu_bronze	1	3
phar_main_minor_main_building_fenkhu_bronze	2	3
phar_main_minor_main_building_fenkhu_bronze	3	3
phar_main_minor_main_building_fenkhu_food	1	3
phar_main_minor_main_building_fenkhu_food	2	3
phar_main_minor_main_building_fenkhu_food	3	3
phar_main_minor_main_building_fenkhu_gold	1	3
phar_main_minor_main_building_fenkhu_gold	2	3
phar_main_minor_main_building_fenkhu_gold	3	3
phar_main_minor_main_building_fenkhu_stone	1	3
phar_main_minor_main_building_fenkhu_stone	2	3
phar_main_minor_main_building_fenkhu_stone	3	3
phar_main_minor_main_building_fenkhu_wood	1	3
phar_main_minor_main_building_fenkhu_wood	2	3
phar_main_minor_main_building_fenkhu_wood	3	3
phar_main_minor_main_building_highlands_bronze	1	3
phar_main_minor_main_building_highlands_bronze	2	3
phar_main_minor_main_building_highlands_bronze	3	3
phar_main_minor_main_building_highlands_food	1	3
phar_main_minor_main_building_highlands_food	2	3
phar_main_minor_main_building_highlands_food	3	3
phar_main_minor_main_building_highlands_gold	1	3
phar_main_minor_main_building_highlands_gold	2	3
phar_main_minor_main_building_highlands_gold	3	3
phar_main_minor_main_building_highlands_stone	1	3
phar_main_minor_main_building_highlands_stone	2	3
phar_main_minor_main_building_highlands_stone	3	3
phar_main_minor_main_building_highlands_wood	1	3
phar_main_minor_main_building_highlands_wood	2	3
phar_main_minor_main_building_highlands_wood	3	3
phar_main_minor_main_building_isuwa_bronze	1	3
phar_main_minor_main_building_isuwa_bronze	2	3
phar_main_minor_main_building_isuwa_bronze	3	3
phar_main_minor_main_building_isuwa_food	1	3
phar_main_minor_main_building_isuwa_food	2	3
phar_main_minor_main_building_isuwa_food	3	3
phar_main_minor_main_building_isuwa_gold	1	3
phar_main_minor_main_building_isuwa_gold	2	3
phar_main_minor_main_building_isuwa_gold	3	3
phar_main_minor_main_building_isuwa_stone	1	3
phar_main_minor_main_building_isuwa_stone	2	3
phar_main_minor_main_building_isuwa_stone	3	3
phar_main_minor_main_building_isuwa_wood	1	3
phar_main_minor_main_building_isuwa_wood	2	3
phar_main_minor_main_building_isuwa_wood	3	3
phar_main_minor_main_building_kush_bronze	1	3
phar_main_minor_main_building_kush_bronze	2	3
phar_main_minor_main_building_kush_bronze	3	3
phar_main_minor_main_building_kush_food	1	3
phar_main_minor_main_building_kush_food	2	3
phar_main_minor_main_building_kush_food	3	3
phar_main_minor_main_building_kush_gold	1	3
phar_main_minor_main_building_kush_gold	2	3
phar_main_minor_main_building_kush_gold	3	3
phar_main_minor_main_building_kush_stone	1	3
phar_main_minor_main_building_kush_stone	2	3
phar_main_minor_main_building_kush_stone	3	3
phar_main_minor_main_building_kush_wood	1	3
phar_main_minor_main_building_kush_wood	2	3
phar_main_minor_main_building_kush_wood	3	3
phar_main_minor_main_building_lower_egypt_bronze	1	3
phar_main_minor_main_building_lower_egypt_bronze	2	3
phar_main_minor_main_building_lower_egypt_bronze	3	3
phar_main_minor_main_building_lower_egypt_food	1	3
phar_main_minor_main_building_lower_egypt_food	2	3
phar_main_minor_main_building_lower_egypt_food	3	3
phar_main_minor_main_building_lower_egypt_gold	1	3
phar_main_minor_main_building_lower_egypt_gold	2	3
phar_main_minor_main_building_lower_egypt_gold	3	3
phar_main_minor_main_building_lower_egypt_stone	1	3
phar_main_minor_main_building_lower_egypt_stone	2	3
phar_main_minor_main_building_lower_egypt_stone	3	3
phar_main_minor_main_building_lower_egypt_wood	1	3
phar_main_minor_main_building_lower_egypt_wood	2	3
phar_main_minor_main_building_lower_egypt_wood	3	3
phar_main_minor_main_building_lowlands_bronze	1	3
phar_main_minor_main_building_lowlands_bronze	2	3
phar_main_minor_main_building_lowlands_bronze	3	3
phar_main_minor_main_building_lowlands_food	1	3
phar_main_minor_main_building_lowlands_food	2	3
phar_main_minor_main_building_lowlands_food	3	3
phar_main_minor_main_building_lowlands_gold	1	3
phar_main_minor_main_building_lowlands_gold	2	3
phar_main_minor_main_building_lowlands_gold	3	3
phar_main_minor_main_building_lowlands_stone	1	3
phar_main_minor_main_building_lowlands_stone	2	3
phar_main_minor_main_building_lowlands_stone	3	3
phar_main_minor_main_building_lowlands_wood	1	3
phar_main_minor_main_building_lowlands_wood	2	3
phar_main_minor_main_building_lowlands_wood	3	3
phar_main_minor_main_building_nubia_bronze	1	3
phar_main_minor_main_building_nubia_bronze	2	3
phar_main_minor_main_building_nubia_bronze	3	3
phar_main_minor_main_building_nubia_food	1	3
phar_main_minor_main_building_nubia_food	2	3
phar_main_minor_main_building_nubia_food	3	3
phar_main_minor_main_building_nubia_gold	1	3
phar_main_minor_main_building_nubia_gold	2	3
phar_main_minor_main_building_nubia_gold	3	3
phar_main_minor_main_building_nubia_stone	1	3
phar_main_minor_main_building_nubia_stone	2	3
phar_main_minor_main_building_nubia_stone	3	3
phar_main_minor_main_building_nubia_wood	1	3
phar_main_minor_main_building_nubia_wood	2	3
phar_main_minor_main_building_nubia_wood	3	3
phar_main_minor_main_building_retjennu_bronze	1	3
phar_main_minor_main_building_retjennu_bronze	2	3
phar_main_minor_main_building_retjennu_bronze	3	3
phar_main_minor_main_building_retjennu_food	1	3
phar_main_minor_main_building_retjennu_food	2	3
phar_main_minor_main_building_retjennu_food	3	3
phar_main_minor_main_building_retjennu_gold	1	3
phar_main_minor_main_building_retjennu_gold	2	3
phar_main_minor_main_building_retjennu_gold	3	3
phar_main_minor_main_building_retjennu_stone	1	3
phar_main_minor_main_building_retjennu_stone	2	3
phar_main_minor_main_building_retjennu_stone	3	3
phar_main_minor_main_building_retjennu_wood	1	3
phar_main_minor_main_building_retjennu_wood	2	3
phar_main_minor_main_building_retjennu_wood	3	3
phar_main_minor_main_building_sinai_bronze	1	3
phar_main_minor_main_building_sinai_bronze	2	3
phar_main_minor_main_building_sinai_bronze	3	3
phar_main_minor_main_building_sinai_food	1	3
phar_main_minor_main_building_sinai_food	2	3
phar_main_minor_main_building_sinai_food	3	3
phar_main_minor_main_building_sinai_gold	1	3
phar_main_minor_main_building_sinai_gold	2	3
phar_main_minor_main_building_sinai_gold	3	3
phar_main_minor_main_building_sinai_stone	1	3
phar_main_minor_main_building_sinai_stone	2	3
phar_main_minor_main_building_sinai_stone	3	3
phar_main_minor_main_building_sinai_wood	1	3
phar_main_minor_main_building_sinai_wood	2	3
phar_main_minor_main_building_sinai_wood	3	3
phar_main_minor_main_building_upper_egypt_bronze	1	3
phar_main_minor_main_building_upper_egypt_bronze	2	3
phar_main_minor_main_building_upper_egypt_bronze	3	3
phar_main_minor_main_building_upper_egypt_food	1	3
phar_main_minor_main_building_upper_egypt_food	2	3
phar_main_minor_main_building_upper_egypt_food	3	3
phar_main_minor_main_building_upper_egypt_gold	1	3
phar_main_minor_main_building_upper_egypt_gold	2	3
phar_main_minor_main_building_upper_egypt_gold	3	3
phar_main_minor_main_building_upper_egypt_stone	1	3
phar_main_minor_main_building_upper_egypt_stone	2	3
phar_main_minor_main_building_upper_egypt_stone	3	3
phar_main_minor_main_building_upper_egypt_wood	1	3
phar_main_minor_main_building_upper_egypt_wood	2	3
phar_main_minor_main_building_upper_egypt_wood	3	3
phar_main_minor_main_building_western_desert_bronze	1	3
phar_main_minor_main_building_western_desert_bronze	2	3
phar_main_minor_main_building_western_desert_bronze	3	3
phar_main_minor_main_building_western_desert_food	1	3
phar_main_minor_main_building_western_desert_food	2	3
phar_main_minor_main_building_western_desert_food	3	3
phar_main_minor_main_building_western_desert_gold	1	3
phar_main_minor_main_building_western_desert_gold	2	3
phar_main_minor_main_building_western_desert_gold	3	3
phar_main_minor_main_building_western_desert_stone	1	3
phar_main_minor_main_building_western_desert_stone	2	3
phar_main_minor_main_building_western_desert_stone	3	3
phar_main_minor_main_building_western_desert_wood	1	3
phar_main_minor_main_building_western_desert_wood	2	3
phar_main_minor_main_building_western_desert_wood	3	3
phar_main_minor_main_building_yamhad_bronze	1	3
phar_main_minor_main_building_yamhad_bronze	2	3
phar_main_minor_main_building_yamhad_bronze	3	3
phar_main_minor_main_building_yamhad_food	1	3
phar_main_minor_main_building_yamhad_food	2	3
phar_main_minor_main_building_yamhad_food	3	3
phar_main_minor_main_building_yamhad_gold	1	3
phar_main_minor_main_building_yamhad_gold	2	3
phar_main_minor_main_building_yamhad_gold	3	3
phar_main_minor_main_building_yamhad_stone	1	3
phar_main_minor_main_building_yamhad_stone	2	3
phar_main_minor_main_building_yamhad_stone	3	3
phar_main_minor_main_building_yamhad_wood	1	3
phar_main_minor_main_building_yamhad_wood	2	3
phar_main_minor_main_building_yamhad_wood	3	3
phar_map_major_main_building_aber_nahra	1	5
phar_map_major_main_building_aber_nahra	2	5
phar_map_major_main_building_aber_nahra	3	5
phar_map_major_main_building_aber_nahra	4	6
phar_map_major_main_building_aber_nahra	5	7
phar_map_major_main_building_achaea	1	5
phar_map_major_main_building_achaea	2	5
phar_map_major_main_building_achaea	3	5
phar_map_major_main_building_achaea	4	6
phar_map_major_main_building_achaea	5	7
phar_map_major_main_building_assuwa	1	5
phar_map_major_main_building_assuwa	2	5
phar_map_major_main_building_assuwa	3	5
phar_map_major_main_building_assuwa	4	6
phar_map_major_main_building_assuwa	5	7
phar_map_major_main_building_haltamti	1	5
phar_map_major_main_building_haltamti	2	5
phar_map_major_main_building_haltamti	3	5
phar_map_major_main_building_haltamti	4	6
phar_map_major_main_building_haltamti	5	7
phar_map_major_main_building_mat_assur	1	5
phar_map_major_main_building_mat_assur	2	5
phar_map_major_main_building_mat_assur	3	5
phar_map_major_main_building_mat_assur	4	6
phar_map_major_main_building_mat_assur	5	7
phar_map_major_main_building_mat_tamti	1	5
phar_map_major_main_building_mat_tamti	2	5
phar_map_major_main_building_mat_tamti	3	5
phar_map_major_main_building_mat_tamti	4	6
phar_map_major_main_building_mat_tamti	5	7
phar_map_major_main_building_poc_aber_nahra	1	5
phar_map_major_main_building_poc_aber_nahra	2	5
phar_map_major_main_building_poc_aber_nahra	3	5
phar_map_major_main_building_poc_aber_nahra	4	6
phar_map_major_main_building_poc_aber_nahra	5	7
phar_map_major_main_building_poc_haltamti	1	5
phar_map_major_main_building_poc_haltamti	2	5
phar_map_major_main_building_poc_haltamti	3	5
phar_map_major_main_building_poc_haltamti	4	6
phar_map_major_main_building_poc_haltamti	5	7
phar_map_major_main_building_thebes	1	5
phar_map_major_main_building_thebes	2	5
phar_map_major_main_building_thebes	3	5
phar_map_major_main_building_thebes	4	6
phar_map_major_main_building_thebes	5	7
phar_map_major_main_building_thrace	1	5
phar_map_major_main_building_thrace	2	5
phar_map_major_main_building_thrace	3	5
phar_map_major_main_building_thrace	4	6
phar_map_major_main_building_thrace	5	7
phar_map_major_main_building_zagros	1	5
phar_map_major_main_building_zagros	2	5
phar_map_major_main_building_zagros	3	5
phar_map_major_main_building_zagros	4	6
phar_map_major_main_building_zagros	5	7
phar_map_major_poc_main_building_achaea	1	7
phar_map_major_poc_main_building_achaea	2	7
phar_map_major_poc_main_building_achaea	3	7
phar_map_major_poc_main_building_achaea	4	8
phar_map_major_poc_main_building_achaea	5	9
phar_map_major_poc_main_building_assuwa	1	7
phar_map_major_poc_main_building_assuwa	2	7
phar_map_major_poc_main_building_assuwa	3	7
phar_map_major_poc_main_building_assuwa	4	8
phar_map_major_poc_main_building_assuwa	5	9
phar_map_major_poc_main_building_mat_assur	1	7
phar_map_major_poc_main_building_mat_assur	2	7
phar_map_major_poc_main_building_mat_assur	3	7
phar_map_major_poc_main_building_mat_assur	4	8
phar_map_major_poc_main_building_mat_assur	5	9
phar_map_major_poc_main_building_mat_tamti	1	7
phar_map_major_poc_main_building_mat_tamti	2	7
phar_map_major_poc_main_building_mat_tamti	3	7
phar_map_major_poc_main_building_mat_tamti	4	8
phar_map_major_poc_main_building_mat_tamti	5	9
phar_map_major_poc_main_building_mat_tamti_babylon	1	7
phar_map_major_poc_main_building_mat_tamti_babylon	2	7
phar_map_major_poc_main_building_mat_tamti_babylon	3	7
phar_map_major_poc_main_building_mat_tamti_babylon	4	8
phar_map_major_poc_main_building_mat_tamti_babylon	5	9
phar_map_major_poc_main_building_mycenae	1	7
phar_map_major_poc_main_building_mycenae	2	7
phar_map_major_poc_main_building_mycenae	3	7
phar_map_major_poc_main_building_mycenae	4	8
phar_map_major_poc_main_building_mycenae	5	9
phar_map_major_poc_main_building_thrace	1	7
phar_map_major_poc_main_building_thrace	2	7
phar_map_major_poc_main_building_thrace	3	7
phar_map_major_poc_main_building_thrace	4	8
phar_map_major_poc_main_building_thrace	5	9
phar_map_major_poc_main_building_troy	1	7
phar_map_major_poc_main_building_troy	2	7
phar_map_major_poc_main_building_troy	3	7
phar_map_major_poc_main_building_troy	4	8
phar_map_major_poc_main_building_troy	5	9
phar_map_major_poc_main_building_zagros	1	7
phar_map_major_poc_main_building_zagros	2	7
phar_map_major_poc_main_building_zagros	3	7
phar_map_major_poc_main_building_zagros	4	8
phar_map_major_poc_main_building_zagros	5	9
phar_map_minor_main_building_aber_nahra_bronze	1	3
phar_map_minor_main_building_aber_nahra_bronze	2	3
phar_map_minor_main_building_aber_nahra_bronze	3	3
phar_map_minor_main_building_aber_nahra_food	1	3
phar_map_minor_main_building_aber_nahra_food	2	3
phar_map_minor_main_building_aber_nahra_food	3	3
phar_map_minor_main_building_aber_nahra_stone	1	3
phar_map_minor_main_building_aber_nahra_stone	2	3
phar_map_minor_main_building_aber_nahra_stone	3	3
phar_map_minor_main_building_achaea_bronze	1	3
phar_map_minor_main_building_achaea_bronze	2	3
phar_map_minor_main_building_achaea_bronze	3	3
phar_map_minor_main_building_achaea_food	1	3
phar_map_minor_main_building_achaea_food	2	3
phar_map_minor_main_building_achaea_food	3	3
phar_map_minor_main_building_achaea_gold	1	3
phar_map_minor_main_building_achaea_gold	2	3
phar_map_minor_main_building_achaea_gold	3	3
phar_map_minor_main_building_achaea_stone	1	3
phar_map_minor_main_building_achaea_stone	2	3
phar_map_minor_main_building_achaea_stone	3	3
phar_map_minor_main_building_achaea_wood	1	3
phar_map_minor_main_building_achaea_wood	2	3
phar_map_minor_main_building_achaea_wood	3	3
phar_map_minor_main_building_assuwa_bronze	1	3
phar_map_minor_main_building_assuwa_bronze	2	3
phar_map_minor_main_building_assuwa_bronze	3	3
phar_map_minor_main_building_assuwa_food	1	3
phar_map_minor_main_building_assuwa_food	2	3
phar_map_minor_main_building_assuwa_food	3	3
phar_map_minor_main_building_assuwa_gold	1	3
phar_map_minor_main_building_assuwa_gold	2	3
phar_map_minor_main_building_assuwa_gold	3	3
phar_map_minor_main_building_assuwa_stone	1	3
phar_map_minor_main_building_assuwa_stone	2	3
phar_map_minor_main_building_assuwa_stone	3	3
phar_map_minor_main_building_assuwa_wood	1	3
phar_map_minor_main_building_assuwa_wood	2	3
phar_map_minor_main_building_assuwa_wood	3	3
phar_map_minor_main_building_haltamti_food	1	3
phar_map_minor_main_building_haltamti_food	2	3
phar_map_minor_main_building_haltamti_food	3	3
phar_map_minor_main_building_haltamti_gold	1	3
phar_map_minor_main_building_haltamti_gold	2	3
phar_map_minor_main_building_haltamti_gold	3	3
phar_map_minor_main_building_haltamti_wood	1	3
phar_map_minor_main_building_haltamti_wood	2	3
phar_map_minor_main_building_haltamti_wood	3	3
phar_map_minor_main_building_mat_assur_bronze	1	3
phar_map_minor_main_building_mat_assur_bronze	2	3
phar_map_minor_main_building_mat_assur_bronze	3	3
phar_map_minor_main_building_mat_assur_food	1	3
phar_map_minor_main_building_mat_assur_food	2	3
phar_map_minor_main_building_mat_assur_food	3	3
phar_map_minor_main_building_mat_assur_gold	1	3
phar_map_minor_main_building_mat_assur_gold	2	3
phar_map_minor_main_building_mat_assur_gold	3	3
phar_map_minor_main_building_mat_assur_stone	1	3
phar_map_minor_main_building_mat_assur_stone	2	3
phar_map_minor_main_building_mat_assur_stone	3	3
phar_map_minor_main_building_mat_assur_wood	1	3
phar_map_minor_main_building_mat_assur_wood	2	3
phar_map_minor_main_building_mat_assur_wood	3	3
phar_map_minor_main_building_mat_tamti_bronze	1	3
phar_map_minor_main_building_mat_tamti_bronze	2	3
phar_map_minor_main_building_mat_tamti_bronze	3	3
phar_map_minor_main_building_mat_tamti_food	1	3
phar_map_minor_main_building_mat_tamti_food	2	3
phar_map_minor_main_building_mat_tamti_food	3	3
phar_map_minor_main_building_mat_tamti_gold	1	3
phar_map_minor_main_building_mat_tamti_gold	2	3
phar_map_minor_main_building_mat_tamti_gold	3	3
phar_map_minor_main_building_mat_tamti_stone	1	3
phar_map_minor_main_building_mat_tamti_stone	2	3
phar_map_minor_main_building_mat_tamti_stone	3	3
phar_map_minor_main_building_mat_tamti_wood	1	3
phar_map_minor_main_building_mat_tamti_wood	2	3
phar_map_minor_main_building_mat_tamti_wood	3	3
phar_map_minor_main_building_thrace_bronze	1	3
phar_map_minor_main_building_thrace_bronze	2	3
phar_map_minor_main_building_thrace_bronze	3	3
phar_map_minor_main_building_thrace_food	1	3
phar_map_minor_main_building_thrace_food	2	3
phar_map_minor_main_building_thrace_food	3	3
phar_map_minor_main_building_thrace_gold	1	3
phar_map_minor_main_building_thrace_gold	2	3
phar_map_minor_main_building_thrace_gold	3	3
phar_map_minor_main_building_thrace_stone	1	3
phar_map_minor_main_building_thrace_stone	2	3
phar_map_minor_main_building_thrace_stone	3	3
phar_map_minor_main_building_thrace_wood	1	3
phar_map_minor_main_building_thrace_wood	2	3
phar_map_minor_main_building_thrace_wood	3	3
phar_map_minor_main_building_zagros_bronze	1	3
phar_map_minor_main_building_zagros_bronze	2	3
phar_map_minor_main_building_zagros_bronze	3	3
phar_map_minor_main_building_zagros_food	1	3
phar_map_minor_main_building_zagros_food	2	3
phar_map_minor_main_building_zagros_food	3	3
phar_map_minor_main_building_zagros_gold	1	3
phar_map_minor_main_building_zagros_gold	2	3
phar_map_minor_main_building_zagros_gold	3	3
phar_map_minor_main_building_zagros_stone	1	3
phar_map_minor_main_building_zagros_stone	2	3
phar_map_minor_main_building_zagros_stone	3	3
phar_map_minor_main_building_zagros_wood	1	3
phar_map_minor_main_building_zagros_wood	2	3
phar_map_minor_main_building_zagros_wood	3	3
troy_adi_ody_special_thebes	1	0
troy_adi_ody_special_thebes	2	0
troy_adi_ody_special_thebes	3	0
troy_adi_ody_special_thebes	4	0
troy_adi_ody_special_thebes	5	0
troy_adi_special_thebes	1	2
troy_adi_special_thebes	2	3
troy_adi_special_thebes	3	5
troy_adi_special_thebes	4	6
troy_adi_special_thebes	5	7
troy_main_dan_settlement_major_myth_centaurs	2	3
troy_main_dan_settlement_major_myth_centaurs	3	5
troy_main_dan_settlement_major_myth_centaurs	4	6
troy_main_dan_settlement_major_myth_centaurs	5	7
troy_main_dan_settlement_major_myth_giants	2	3
troy_main_dan_settlement_major_myth_giants	3	5
troy_main_dan_settlement_major_myth_giants	4	6
troy_main_dan_settlement_major_myth_giants	5	7
troy_main_dan_settlement_major_myth_harpies	2	3
troy_main_dan_settlement_major_myth_harpies	3	5
troy_main_dan_settlement_major_myth_harpies	4	6
troy_main_dan_settlement_major_myth_harpies	5	7
troy_main_ody_farm_myth_harpies	1	0
troy_main_ody_farm_myth_harpies	2	0
troy_main_ody_farm_myth_harpies	3	0
troy_main_ody_settlement_bronze	1	0
troy_main_ody_settlement_bronze	2	0
troy_main_ody_settlement_bronze	3	0
troy_main_ody_settlement_bronze_myth_centaurs	1	0
troy_main_ody_settlement_bronze_myth_centaurs	2	0
troy_main_ody_settlement_bronze_myth_centaurs	3	0
troy_main_ody_settlement_bronze_myth_giants	1	0
troy_main_ody_settlement_bronze_myth_giants	2	0
troy_main_ody_settlement_bronze_myth_giants	3	0
troy_main_ody_settlement_bronze_myth_harpies	1	0
troy_main_ody_settlement_bronze_myth_harpies	2	0
troy_main_ody_settlement_bronze_myth_harpies	3	0
troy_main_ody_settlement_bronze_sea	1	2
troy_main_ody_settlement_bronze_sea	2	3
troy_main_ody_settlement_bronze_sea	3	3
troy_main_ody_settlement_farm	1	0
troy_main_ody_settlement_farm	2	0
troy_main_ody_settlement_farm	3	0
troy_main_ody_settlement_farm_myth_giants	1	0
troy_main_ody_settlement_farm_myth_giants	2	0
troy_main_ody_settlement_farm_myth_giants	3	0
troy_main_ody_settlement_farm_myth_sirens	1	0
troy_main_ody_settlement_farm_myth_sirens	2	0
troy_main_ody_settlement_farm_myth_sirens	3	0
troy_main_ody_settlement_farm_sea	1	2
troy_main_ody_settlement_farm_sea	2	3
troy_main_ody_settlement_farm_sea	3	3
troy_main_ody_settlement_forest	1	0
troy_main_ody_settlement_forest	2	0
troy_main_ody_settlement_forest	3	0
troy_main_ody_settlement_forest_sea	1	2
troy_main_ody_settlement_forest_sea	2	3
troy_main_ody_settlement_forest_sea	3	3
troy_main_ody_settlement_gold	1	0
troy_main_ody_settlement_gold	2	0
troy_main_ody_settlement_gold	3	0
troy_main_ody_settlement_gold_myth_centaurs	1	0
